City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
654,Bowen,AU,83.08,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
657,Saint-Georges,GD,77.05,heavy intensity rain,12.0564,-61.7485,Radisson Grenada Beach Resort
659,Dabra,IN,82.17,clear sky,25.9,78.3333,Pankaj Sharma House
663,Hunterville,NZ,68.7,overcast clouds,-39.9333,175.5667,Argyle Hotel
668,Asfi,MA,73.06,clear sky,32.2994,-9.2372,Hôtel Abda
669,Rio Verde De Mato Grosso,BR,76.73,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
671,Tiarei,PF,78.82,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
673,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
676,Sao Joao Da Barra,BR,72.64,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
677,Hit,IQ,73.36,clear sky,33.6416,42.8251,المعلق حسان رزاق
678,Mackay,AU,81.93,light rain,-21.15,149.2,International Lodge Motel
679,Le Port,RE,78.76,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
682,Boa Vista,BR,76.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
683,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
687,Gunnedah,AU,71.67,clear sky,-30.9833,150.25,Gunnedah Motor Inn
688,Anori,BR,74.21,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
689,Bandarbeyla,SO,81.01,clear sky,9.4942,50.8122,JABIR HOTEL
691,Sarankhola,BD,82.4,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
692,Mareeba,AU,84.49,moderate rain,-17.0,145.4333,Trinity Plains Tourist Park
693,Marzuq,YE,73.09,clear sky,14.4,46.4667,حيد القفلة
699,Galle,LK,82.94,clear sky,6.0367,80.217,Amangalla
700,Pozo Colorado,PY,70.43,few clouds,-23.4923,-58.7972,Hospedaje La Norteña
701,Cotonou,BJ,79.68,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
702,Najran,SA,69.69,clear sky,17.4924,44.1277,محمد هادي ال فطيح
703,Mancio Lima,BR,76.91,heavy intensity rain,-7.6142,-72.8958,Motel Asas Do Desejo
704,Nuevo Progreso,MX,72.54,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
706,Isiro,CD,69.39,overcast clouds,2.7739,27.616,Guest House Hewa Bora
708,Marawi,PH,71.74,heavy intensity rain,7.9986,124.2928,Derogongan Residence
711,Santander,ES,76.71,clear sky,43.4647,-3.8044,Abba Santander Hotel
712,Mandera,KE,77.34,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
716,Tual,ID,82.27,broken clouds,-5.6667,132.75,Grand Vilia Hotel
